Time [s]; X [mm]; Y [mm] 
1.6821608543395996; 120; 389 
1.7713189125061035; 114; 382 
1.8405029773712158; 116; 367 
1.9045507907867432; 128; 350 
1.9708280563354492; 151; 329 
2.0375568866729736; 186; 295 
2.103470802307129; 232; 231 
2.170107841491699; 287; 198 
2.237069845199585; 388; 178 
2.302274703979492; 495; 173 
2.43322491645813; 557; 214 
2.478729009628296; 565; 313 
2.5355589389801025; 566; 370 
2.6019928455352783; 569; 409 
2.6683919429779053; 574; 420 
2.739060878753662; 574; 421 
2.8056797981262207; 573; 420 
2.8735909461975098; 572; 425 
2.9440109729766846; 566; 428 
3.0080928802490234; 558; 416 
3.077655076980591; 559; 389 
3.141573905944824; 556; 337 
3.209217071533203; 556; 274 
3.2757840156555176; 545; 207 
3.3436670303344727; 533; 186 
3.4099619388580322; 487; 175 
3.474404811859131; 412; 192 
3.5413520336151123; 346; 195 
3.6078028678894043; 272; 215 
3.676664113998413; 221; 239 
3.7439067363739014; 179; 320 
3.8084170818328857; 139; 373 
3.876269817352295; 114; 430 
3.9422109127044678; 82; 443 
4.007091999053955; 80; 445 
4.074889898300171; 83; 442 
4.1432318687438965; 101; 426 
4.20901894569397; 104; 408 
4.274417877197266; 102; 386 
4.343170881271362; 103; 349 
4.4091269969940186; 107; 310 
4.47563910484314; 172; 217 
4.543972730636597; 279; 204 
4.6107869148254395; 355; 190 
4.675848960876465; 429; 176 
4.74341082572937; 485; 168 
4.8097920417785645; 515; 215 
4.874711036682129; 519; 258 
4.943413972854614; 518; 293 
5.0080320835113525; 513; 338 
5.076761722564697; 515; 376 
5.142487049102783; 529; 399 
5.209717035293579; 525; 402 
5.275542974472046; 523; 404 
5.339860916137695; 523; 405 
5.4098029136657715; 521; 398 
5.475733041763306; 517; 388 
5.542018890380859; 509; 350 
5.608943939208984; 519; 325 
5.676569938659668; 525; 284 
5.742226839065552; 530; 230 
5.807410001754761; 512; 172 
5.876463890075684; 457; 172 
5.943018913269043; 402; 179 
6.008826971054077; 382; 193 
6.076237916946411; 349; 206 
6.143222093582153; 298; 208 
6.206982851028442; 255; 226 
6.274309873580933; 185; 250 
6.340051889419556; 158; 275 
6.409839868545532; 134; 316 
6.476259708404541; 127; 342 
6.541911840438843; 118; 355 
6.607229948043823; 118; 365 
6.6755828857421875; 118; 352 
6.741205930709839; 127; 327 
6.807240962982178; 138; 270 
6.875800848007202; 182; 223 
6.94306492805481; 277; 219 
7.0071868896484375; 334; 204 
7.07497501373291; 393; 197 
7.141527891159058; 502; 173 
7.20638108253479; 549; 216 
7.2753260135650635; 563; 259 
7.342433929443359; 567; 273 
7.408442974090576; 567; 292 
7.476262807846069; 566; 333 
7.542710065841675; 568; 371 
7.608028888702393; 570; 375 
7.672529935836792; 570; 372 
7.742357015609741; 564; 373 
7.808623790740967; 560; 368 
7.875543832778931; 557; 365 
7.941473960876465; 547; 355 
8.008908987045288; 542; 324 
8.074652910232544; 548; 338 
8.138661861419678; 553; 306 
8.207982778549194; 558; 279 
8.274555921554565; 558; 241 
8.341762065887451; 545; 217 
8.408728837966919; 511; 209 
8.475383043289185; 471; 208 
8.538207054138184; 379; 206 
8.606939792633057; 327; 234 
8.675615072250366; 282; 232 
8.74137282371521; 278; 236 
8.808136940002441; 241; 271 
8.873413801193237; 220; 335 
8.940675735473633; 204; 332 
9.007876873016357; 214; 324 
9.072418689727783; 232; 302 
9.141757011413574; 242; 278 
9.20704698562622; 267; 242 
9.274396896362305; 338; 226 
9.340824842453003; 401; 213 
9.408078908920288; 482; 213 
9.474254846572876; 561; 210 
9.538577795028687; 592; 245 
9.607822895050049; 596; 392 
9.675327062606812; 595; 408 
9.741861820220947; 598; 408 
9.806745767593384; 601; 422 
9.875274896621704; 609; 426 
9.940472841262817; 614; 419 
10.006280899047852; 614; 396 
10.074180841445923; 602; 363 
10.140813112258911; 588; 344 
10.20779299736023; 576; 338 
10.273879051208496; 568; 331 
10.341027736663818; 568; 331 
10.406543970108032; 574; 316 
10.473007917404175; 587; 302 
10.538671970367432; 591; 247 
10.607645988464355; 583; 217 
10.67443299293518; 553; 198 
10.740830898284912; 439; 212 
10.807369947433472; 366; 217 
10.873689889907837; 300; 217 
10.939846992492676; 241; 222 
11.006335973739624; 212; 282 
11.074219942092896; 206; 328 
11.141469955444336; 196; 354 
11.208003759384155; 189; 368 
11.274055004119873; 189; 370 
11.339716911315918; 195; 327 
11.405077934265137; 192; 258 
11.474966049194336; 196; 251 
11.537090063095093; 196; 253 
11.607157945632935; 191; 237 
11.67354702949524; 194; 229 
11.740767002105713; 196; 220 
11.807678937911987; 197; 215 
11.871510982513428; 195; 214 
11.94092082977295; 190; 215 
